lon,lat,weapontype,attacktype,targettype
32.87,39.92,3514,1451,2104
-157.82,21.3,1482,1146,1089
-94.05,33.43,1482,1146,2763
-94.05,33.43,1482,1146,2763
-94.05,33.43,1482,1146,2763
-94.05,33.43,1482,1146,2763
-5.93,54.6,1198,486,3290
-90.2,38.63,1137,683,1327
-90.2,38.63,1137,683,2104
-104.81,40.08,1137,683,2585
11.58,48.14,1198,398,725
-56.19,-34.89,3514,1451,1327
8.68,49.4,1137,683,1327
-5.98,54.63,1198,486,2104
-95.37,29.76,1137,683,2644
-122.68,45.51,1137,683,2585
28.97,41.01,1137,683,725
28.97,41.01,1137,683,1713
4.48,51.92,1137,683,3525
-56.19,-34.89,1198,398,1713
-122.31,37.55,1482,1146,1327
-122.42,37.78,1137,683,1327
-76.48,42.46,1482,1146,2104
-16.19,28.51,1137,683,725
-81.66,30.33,1137,683,2104
13.33,52.51,1482,1146,725
-73.97,40.78,1482,1146,725
-71.12,42.41,1482,1146,1089
-122.55,37.91,1137,683,725
-83.07,42.36,1137,683,1089
-118.88,34.23,1482,1146,725
9.19,45.46,1137,683,1326
32.87,39.92,1482,398,2644
-76.61,39.29,1137,683,3525
-64.18,-31.4,1137,683,1713
27.13,38.42,1137,683,1089
-122.42,37.78,1137,683,2585
-74.01,40.71,1137,683,2644
120.98,14.6,1198,1427,98
-73.97,40.78,1137,683,2644
-104.99,39.74,1482,1146,2104
49.46,37.47,3514,3514,2104
51.67,32.65,1137,683,2104
51.47,35.79,1198,398,2585
-118.25,34.05,1137,683,1327
-3.7,40.42,1137,683,1713
-117.4,33.95,1198,398,2585
2.17,41.39,1137,683,1089
-118.25,34.05,1482,1146,725
-83.61,42.24,1198,1451,2644
-83.84,31.53,1482,1146,1327
-122.09,37.09,1137,683,725
-66.11,18.47,1482,1146,725
-66.11,18.47,1482,1146,725
32.87,39.92,1137,683,1327
32.87,39.92,1137,683,2104
32.87,39.92,1137,683,2104
-118.25,34.05,1137,683,725
-121.89,37.34,1137,683,725
51.42,35.7,1198,486,2104
18.06,59.33,3514,486,1326
-119.79,36.74,1137,683,1327
32.87,39.92,1137,683,2104
-57.95,-34.92,1198,398,2585
-74.01,40.71,1137,683,1326
-122.16,37.44,1482,1146,1089
-66.11,18.47,1137,683,725
-118.25,34.05,1137,683,1327
-74.01,40.71,1198,486,3553
-74.01,40.71,1198,398,2585
2.17,41.39,1137,683,3351
-74.01,40.71,1137,683,3350
-66.11,18.47,1137,683,725
-119.79,36.74,1137,683,2104
-122.27,37.87,1137,683,725
-93.28,44.88,1482,1146,1327
-74.01,40.71,1137,683,725
-119.79,36.74,1137,683,1327
-122.14,37.44,1137,683,1089
