category,nattacks,nkilled,nkilledter,nwounded,nwoundedter,subcategory,year
3672,718,2229,1,1305,0,2644,1990
3672,643,1796,4,1363,1,2644,1991
3672,904,2552,0,1960,1,2644,1992
3672,718,2722,14,1813,0,2644,1994
3672,762,1799,48,1595,0,2644,1995
3672,600,2248,11,2568,2,2644,1996
3672,792,5424,14,2887,3,2644,1997
3672,271,1925,60,1585,2,2644,1998
3672,365,1641,138,2438,1,2644,1999
3672,527,2125,85,1962,2,2644,2000
3672,662,4924,56,2093,10,2644,2001
3672,391,1846,64,2050,6,2644,2002
3672,255,986,35,1137,0,2644,2003
3672,222,1004,22,1771,2,2644,2004
3672,433,1938,34,3642,7,2644,2005
3672,837,4084,64,6428,4,2644,2006
3672,953,5670,184,10423,19,2644,2007
3672,1581,3429,213,6922,15,2644,2008
3672,1660,3857,117,8056,14,2644,2009
3672,1472,2740,82,5975,15,2644,2010
3672,1430,2649,79,4679,9,2644,2011
3672,1708,3616,199,6886,10,2644,2012
3672,2479,5754,286,11952,11,2644,2013
3672,4262,15517,1974,14076,120,2644,2014
3672,4023,12725,2269,16184,352,2644,2015
3672,13,3,2,1,0,2763,1970
3672,4,0,0,0,0,2763,1971
3672,2,8,0,2,0,2763,1973
3672,7,6,0,1,0,2763,1974
3672,8,1,0,0,0,2763,1975
3672,7,1,0,32,0,2763,1976
3672,10,3,0,0,0,2763,1977
3672,15,15,0,1,0,2763,1978
3672,40,40,0,72,0,2763,1979
3672,49,28,0,46,0,2763,1980
3672,30,36,0,312,0,2763,1981
3672,34,40,0,108,0,2763,1982
3672,41,54,5,138,0,2763,1983
3672,58,48,0,118,0,2763,1984
3672,28,59,1,145,2,2763,1985
3672,39,107,0,129,0,2763,1986
3672,42,93,0,33,0,2763,1987
3672,50,58,0,136,0,2763,1988
3672,64,92,0,129,0,2763,1989
3672,104,340,0,490,0,2763,1990
3672,102,116,0,306,0,2763,1991
3672,126,144,1,152,0,2763,1992
3672,92,478,2,617,0,2763,1994
3672,75,134,0,231,0,2763,1995
3672,84,81,0,274,0,2763,1996
3672,99,196,1,191,0,2763,1997
3672,40,102,7,89,0,2763,1998
3672,40,107,0,87,1,2763,1999
3672,98,113,9,409,2,2763,2000
3672,46,79,0,220,0,2763,2001
3672,43,269,8,458,0,2763,2002
3672,31,203,6,591,1,2763,2003
3672,47,302,4,937,1,2763,2004
3672,86,442,25,828,0,2763,2005
3672,94,523,10,1119,0,2763,2006
3672,88,552,9,1252,0,2763,2007
3672,111,318,14,714,0,2763,2008
3672,146,1069,42,1832,0,2763,2009
3672,125,544,27,993,1,2763,2010
3672,136,377,18,774,1,2763,2011
3672,249,554,29,1154,0,2763,2012
3672,409,1318,61,2648,0,2763,2013
3672,427,1147,28,1630,2,2763,2014
3672,396,1165,116,2161,9,2763,2015
3672,7,0,0,0,0,3269,1970
3672,3,0,0,0,0,3269,1971
3672,4,1,0,4,0,3269,1974
3672,3,0,0,0,0,3269,1975
3672,1,1,0,0,0,3269,1976
3672,12,0,0,0,0,3269,1977
3672,18,2,2,1,0,3269,1978
3672,30,0,0,0,0,3269,1979
3672,6,0,0,0,0,3269,1980
3672,32,3,0,6,0,3269,1981
3672,52,2,0,17,0,3269,1982
3672,20,2,0,1,0,3269,1983
3672,24,20,0,27,0,3269,1984
3672,14,33,0,8,0,3269,1985
3672,15,12,0,115,0,3269,1986
3672,20,0,0,0,0,3269,1987
3672,15,0,0,4,0,3269,1988
3672,29,4,0,11,0,3269,1989
3672,21,1,0,3,0,3269,1990
3672,17,2,0,1,0,3269,1991
3672,37,5,0,0,0,3269,1992
3672,11,0,0,0,0,3269,1994
3672,8,4,0,0,0,3269,1995
3672,11,5,0,5,0,3269,1996
3672,3,0,0,0,0,3269,1997
3672,1,0,0,0,0,3269,1998
3672,5,0,0,0,0,3269,1999
3672,8,4,0,10,0,3269,2000
3672,11,1,0,0,0,3269,2001
3672,7,3,1,29,0,3269,2002
3672,15,1,0,39,0,3269,2003
3672,1,7,0,0,0,3269,2004
3672,11,0,0,99,0,3269,2005
3672,16,3,1,3,0,3269,2006
3672,9,3,0,25,0,3269,2007
3672,69,4,2,54,0,3269,2008
3672,56,3,0,4,0,3269,2009
3672,55,1,0,10,0,3269,2010
3672,46,3,0,2,1,3269,2011
3672,51,19,0,0,0,3269,2012
3672,56,4,1,6,0,3269,2013
3672,48,5,0,3,0,3269,2014
3672,46,1,0,5,0,3269,2015
3672,4,6,4,3,0,3290,1970
3672,1,1,0,0,0,3290,1971
3672,12,23,4,0,0,3290,1972
3672,19,25,11,0,0,3290,1973
3672,15,16,6,5,0,3290,1974
3672,29,52,2,0,0,3290,1975
3672,13,53,3,0,0,3290,1976
3672,9,12,3,1,1,3290,1977
3672,18,18,0,6,0,3290,1978
3672,18,25,3,35,0,3290,1979
3672,26,34,6,11,0,3290,1980
3672,24,46,4,116,0,3290,1981
3672,28,97,8,28,0,3290,1982
3672,14,34,0,142,0,3290,1983
3672,20,30,1,41,0,3290,1984
3672,15,127,0,22,0,3290,1985
3672,18,34,13,5,0,3290,1986
3672,37,34,2,65,0,3290,1987
3672,28,39,2,13,0,3290,1988
3672,33,202,0,10,0,3290,1989
3672,29,99,1,54,0,3290,1990
3672,47,141,0,49,0,3290,1991
3672,62,85,0,53,0,3290,1992
3672,45,54,0,46,0,3290,1994
3672,36,55,0,98,0,3290,1995
3672,46,73,0,32,0,3290,1996
3672,44,161,0,107,0,3290,1997
3672,6,6,1,5,0,3290,1998
3672,26,56,0,87,0,3290,1999
3672,9,13,0,4,0,3290,2000
3672,8,19,12,15,0,3290,2001
3672,5,6,0,8,0,3290,2002
3672,8,11,0,3,0,3290,2003
3672,4,10,0,2,0,3290,2004
3672,17,28,4,35,0,3290,2005
